effective_rank,participation_ratio,mle_id_k20,bio_vs_nonbio_cos_top10,model,layer_idx,bootstrap,seed,n_items,frames_per_item
93.59173821650225,49.729021777338076,4.81210668659404,0.8134319438406911,eat_all,2,14,14044,600,50
95.34868708067548,50.71229456938706,4.697093921918187,0.8352861443454588,eat_all,2,15,15044,600,50
94.86948720153435,50.651779169349396,5.7253298547720455,0.8377412925802588,eat_all,2,16,16044,600,50
94.91647871101861,50.50889318926963,4.154962160242365,0.8529372678032209,eat_all,2,17,17044,600,50
95.47922484803297,50.92656160266692,4.487333016305718,0.8215529201615943,eat_all,2,18,18044,600,50
95.56077673533918,51.04197638082541,5.438008649524349,0.8415434398920268,eat_all,2,19,19044,600,50
95.22941118276363,50.8426266163556,5.63698231805229,0.8925253452998989,eat_all,2,20,20044,600,50
94.85387518248535,50.59607174056008,5.41015304849882,0.8218599136968574,eat_all,2,21,21044,600,50
95.43466953121317,50.91388284965051,4.963695292841563,0.8375582006951067,eat_all,2,22,22044,600,50
95.4715822918955,50.93463364064066,4.841807195587271,0.8422019565022086,eat_all,2,23,23044,600,50
94.21462802834486,50.279901467933264,4.798679056597608,0.8318424588517853,eat_all,2,24,24044,600,50
94.00096981098258,49.90733856219333,4.818391325488047,0.8400976252711544,eat_all,2,25,25044,600,50
94.70463561422098,50.206209910811694,4.655870823677988,0.8282041339528611,eat_all,2,26,26044,600,50
94.06976464348874,50.04036474453933,5.4984256090361185,0.8427777754940369,eat_all,2,27,27044,600,50
95.06130058299517,50.68567759606924,4.633156923389828,0.8276568406866849,eat_all,2,28,28044,600,50
94.69166228428884,50.56288134056826,5.509535206311204,0.8655974996015499,eat_all,2,29,29044,600,50
94.83238748449867,50.674574766453915,4.686067697634038,0.8166181611868393,eat_all,2,30,30044,600,50
94.33498415921416,49.83232980419004,4.788707678368973,0.8226789318373688,eat_all,2,31,31044,600,50
94.88988554463427,50.382084431525,4.423713399357758,0.8104554571446043,eat_all,2,32,32044,600,50
93.7696287077187,49.81353064865078,4.49997404561762,0.8086694827361857,eat_all,2,33,33044,600,50
95.19434223832558,50.64596412482035,4.721607555222033,0.8485597967932387,eat_all,2,34,34044,600,50
95.10043709895949,50.58876967799711,5.198005812395808,0.8238786916488896,eat_all,2,35,35044,600,50
93.76267244885267,49.98088537167707,4.572368736973218,0.8766557875846688,eat_all,2,36,36044,600,50
94.6398880475673,50.37425820928334,5.166706496869734,0.8283476726677902,eat_all,2,37,37044,600,50
94.7930560476098,50.45692365236117,5.48640476692799,0.8170420837099817,eat_all,2,38,38044,600,50
94.74363609151155,50.369610513416404,4.391745314678594,0.8116300802402729,eat_all,2,39,39044,600,50
94.77768134163213,50.58954542944094,4.876332655068847,0.8360776351266545,eat_all,2,40,40044,600,50
94.59959978088459,50.145995855324124,5.442740775909384,0.8335719446374885,eat_all,2,41,41044,600,50
94.29914057305163,50.15458981270743,4.821192789774835,0.8534666255299875,eat_all,2,42,42044,600,50
94.99296225541143,50.465357746322404,4.585923484669496,0.8325408782202455,eat_all,2,43,43044,600,50
94.90359463657283,50.69426937237104,4.342347888845882,0.8174266544161488,eat_all,2,44,44044,600,50
95.94705564727667,51.19835351556503,4.854622672962088,0.8207469973556296,eat_all,2,45,45044,600,50
95.35408894809535,50.682168477430636,5.332706236170642,0.8220557088000696,eat_all,2,46,46044,600,50
