model,layer_idx,class,species,n_clips,within_var,centroid_norm
eat_bio,12,Mammalia,Orcinus orca,18,12.530022224718364,4.105687017260199
eat_bio,12,Mammalia,Lagenorhynchus acutus,6,10.686303754332512,3.9896004919922974
eat_bio,12,Mammalia,Stenella coeruleoalba,5,11.386392187518897,4.153480775529171
sl_eat_all_ssl_all,0,Aves,Parus major,6,1.0478195639042245,0.26147583949588843
sl_eat_all_ssl_all,0,Aves,Fringilla coelebs,14,1.0447712839371828,0.2611081228904902
sl_eat_all_ssl_all,0,Aves,Erithacus rubecula,6,0.9656652947492402,0.2990241423764582
sl_eat_all_ssl_all,0,Aves,Turdus merula,10,1.0558220405054022,0.31174135660627683
sl_eat_all_ssl_all,0,Aves,Anthus trivialis,5,1.158363020145976,0.3427389071577651
sl_eat_all_ssl_all,0,Mammalia,Globicephala macrorhynchus,7,1.074136023591109,0.31154200679526195
sl_eat_all_ssl_all,0,Mammalia,Delphinus delphis,8,1.1477227082791226,0.31654769531391297
sl_eat_all_ssl_all,0,Mammalia,Balaenoptera physalus,8,1.046012350153637,0.594689033814808
sl_eat_all_ssl_all,0,Mammalia,Megaptera novaeangliae,8,1.0616087595790782,0.2818944243968024
sl_eat_all_ssl_all,0,Mammalia,Orcinus orca,18,1.036336064538433,0.44722001402485995
sl_eat_all_ssl_all,0,Mammalia,Lagenorhynchus acutus,6,1.0049430614056587,0.36842412954104314
sl_eat_all_ssl_all,0,Mammalia,Stenella coeruleoalba,5,0.9580643748039047,0.3574690637527322
sl_eat_all_ssl_all,1,Aves,Parus major,6,29.791848595670604,1.622340125454794
sl_eat_all_ssl_all,1,Aves,Fringilla coelebs,14,30.08190942318373,1.5852164667031254
sl_eat_all_ssl_all,1,Aves,Erithacus rubecula,6,28.82007023116579,1.7594766039114735
sl_eat_all_ssl_all,1,Aves,Turdus merula,10,29.664462350337338,1.626514333147581
sl_eat_all_ssl_all,1,Aves,Anthus trivialis,5,29.82596760189884,1.808954826462392
sl_eat_all_ssl_all,1,Mammalia,Globicephala macrorhynchus,7,27.223591860737724,2.3208222074933835
sl_eat_all_ssl_all,1,Mammalia,Delphinus delphis,8,28.46548166804832,2.186787958738062
sl_eat_all_ssl_all,1,Mammalia,Balaenoptera physalus,8,23.49879041924628,3.323239059368545
