model,layer_idx,level,group,n_clips,effective_rank,participation_ratio,mle_id_k20,n_frames
sl_eat_all_ssl_all,3,class,Mammalia,200,95.52211983969177,51.28405938198151,2.8262191935960606,10000
sl_eat_all_ssl_all,3,order,Passeriformes,100,103.01634763128851,59.37393019468617,17.276764687361588,5000
sl_eat_all_ssl_all,3,order,other-Aves,300,104.23670914606464,60.74913161125299,16.904129707333713,15000
sl_eat_all_ssl_all,4,class,Aves,400,135.38185249221684,72.75525241215264,18.802468677537,20000
sl_eat_all_ssl_all,4,class,Mammalia,200,115.02492163392543,54.869829787035975,2.9688296566007293,10000
sl_eat_all_ssl_all,4,order,Passeriformes,100,132.85685146730984,70.68685549646983,17.569690878141675,5000
sl_eat_all_ssl_all,4,order,other-Aves,300,133.98862086067479,72.06747873424173,18.24963448369956,15000
sl_eat_all_ssl_all,5,class,Aves,400,168.83547380267052,84.55045377082945,18.645836212265685,20000
sl_eat_all_ssl_all,5,class,Mammalia,200,134.2658025034743,55.92003195073996,2.6500383243715313,10000
sl_eat_all_ssl_all,5,order,Passeriformes,100,160.59720773190196,79.47922667134848,16.268959936461194,5000
sl_eat_all_ssl_all,5,order,other-Aves,300,167.20509913479552,83.86205332974444,17.4433073833554,15000
sl_eat_all_ssl_all,6,class,Aves,400,191.39734745618213,91.47976458392932,17.61147428907534,20000
sl_eat_all_ssl_all,6,class,Mammalia,200,142.18096257119456,55.192988754673934,2.5642845652427795,10000
sl_eat_all_ssl_all,6,order,Passeriformes,100,181.9660946113346,87.20027239239509,14.595523222163367,5000
sl_eat_all_ssl_all,6,order,other-Aves,300,188.01839508105178,89.69257712519466,16.313825187627714,15000
sl_eat_all_ssl_all,7,class,Aves,400,210.8674945606143,98.70904284045919,17.995959256456533,20000
sl_eat_all_ssl_all,7,class,Mammalia,200,152.0370580171381,59.75355003606204,2.5407701279085684,10000
sl_eat_all_ssl_all,7,order,Passeriformes,100,197.6863987020598,93.85072374734398,14.553529860621097,5000
sl_eat_all_ssl_all,7,order,other-Aves,300,206.0105515871177,96.01634175556221,15.557005109927704,15000
sl_eat_all_ssl_all,8,class,Aves,400,152.75329283373335,66.37751301344434,13.547936627343935,20000
sl_eat_all_ssl_all,8,class,Mammalia,200,123.10639365621803,50.31364731279901,2.6231344621220924,10000
sl_eat_all_ssl_all,8,order,Passeriformes,100,144.4348548756645,63.31314244581773,10.947820676479344,5000
sl_eat_all_ssl_all,8,order,other-Aves,300,149.62762916646852,65.1690215364787,12.294410694000593,15000
sl_eat_all_ssl_all,9,class,Aves,400,167.8304165870145,69.59636479622351,10.643410014475169,20000
sl_eat_all_ssl_all,9,class,Mammalia,200,146.3202119693235,62.08424764684119,2.220060059857877,10000
sl_eat_all_ssl_all,9,order,Passeriformes,100,156.37563954475226,67.90799197173017,7.696635947587684,5000
sl_eat_all_ssl_all,9,order,other-Aves,300,161.7078326160426,67.09520369482748,9.401879949823076,15000
sl_eat_all_ssl_all,10,class,Aves,400,135.4301401914544,45.77363513812189,10.461749698762429,20000
sl_eat_all_ssl_all,10,class,Mammalia,200,134.55437062854526,56.29167591613065,2.19016442140209,10000
sl_eat_all_ssl_all,10,order,Passeriformes,100,126.12862368412296,45.66748254911505,7.2470428795078465,5000
sl_eat_all_ssl_all,10,order,other-Aves,300,130.97148187870653,44.66731232490453,9.303879624360698,15000
sl_eat_all_ssl_all,11,class,Aves,400,49.60752077942546,10.158655872734922,10.280508253941145,20000
sl_eat_all_ssl_all,11,class,Mammalia,200,71.78368489624408,16.79377292317198,2.259863414685838,10000
sl_eat_all_ssl_all,11,order,Passeriformes,100,48.22813945968554,10.429397433806704,7.296029776688026,5000
sl_eat_all_ssl_all,11,order,other-Aves,300,48.406664170589856,10.020689081005006,8.835477005792166,15000
sl_eat_all_ssl_all,12,class,Aves,400,9.015713436425237,2.2914165714788024,10.506273217221958,20000
sl_eat_all_ssl_all,12,class,Mammalia,200,17.389655129444048,3.806748788029238,2.3107459313937913,10000
sl_eat_all_ssl_all,12,order,Passeriformes,100,9.151628662948111,2.34710117059122,7.355972305134713,5000
sl_eat_all_ssl_all,12,order,other-Aves,300,8.743566347593354,2.2656808716338253,9.002374698259453,15000
sl_eat_bio_ssl_all,0,class,Aves,400,15.81187171802541,5.6449999457355515,14.71455494488259,20000
sl_eat_bio_ssl_all,0,class,Mammalia,200,16.3887432593998,6.038540924160961,3.0611967194603054,10000
sl_eat_bio_ssl_all,0,order,Passeriformes,100,15.579746185237248,5.5535042805489585,8.935685253483062,5000
sl_eat_bio_ssl_all,0,order,other-Aves,300,15.84530317764541,5.660278431395691,14.988210299156004,15000
sl_eat_bio_ssl_all,1,class,Aves,400,60.03499012394464,29.054411654631327,10.357001307659418,20000
sl_eat_bio_ssl_all,1,class,Mammalia,200,54.51679097434187,23.305730555886928,2.7987540009046628,10000
sl_eat_bio_ssl_all,1,order,Passeriformes,100,59.89227732422817,29.25881008513448,11.46606305050873,5000
sl_eat_bio_ssl_all,1,order,other-Aves,300,59.717946437851225,28.87002055789055,9.937629358870756,15000
sl_eat_bio_ssl_all,2,class,Aves,400,100.16789294976728,55.80093557536681,16.834206295160723,20000
sl_eat_bio_ssl_all,2,class,Mammalia,200,94.6833752465412,49.892803810009745,2.747829747133557,10000
sl_eat_bio_ssl_all,2,order,Passeriformes,100,97.88500499691946,54.58683601228628,16.316861631225795,5000
sl_eat_bio_ssl_all,2,order,other-Aves,300,99.87591012678391,55.65987491134734,16.453952698638,15000
sl_eat_bio_ssl_all,3,class,Aves,400,129.59582313370203,70.14235666018708,18.009767405992857,20000
sl_eat_bio_ssl_all,3,class,Mammalia,200,122.13532338904692,62.465294898790006,2.785142210835424,10000
sl_eat_bio_ssl_all,3,order,Passeriformes,100,125.52198745140588,67.95574511699486,16.34816106379471,5000
sl_eat_bio_ssl_all,3,order,other-Aves,300,128.80738672306657,69.63987103216576,17.13374983846449,15000
sl_eat_bio_ssl_all,4,class,Aves,400,187.974316268913,94.65944090271724,19.240789679101315,20000
sl_eat_bio_ssl_all,4,class,Mammalia,200,167.92503022398714,79.94610841583848,2.9054646866691494,10000
sl_eat_bio_ssl_all,4,order,Passeriformes,100,180.83671861458242,92.26300282320656,16.11223065175399,5000
sl_eat_bio_ssl_all,4,order,other-Aves,300,185.39659102668816,92.89382459888826,17.984764616486974,15000
sl_eat_bio_ssl_all,5,class,Aves,400,250.48771195073127,118.25207443474189,15.421897211898537,20000
sl_eat_bio_ssl_all,5,class,Mammalia,200,208.44234978552066,92.09516747652101,2.4631414333574573,10000
sl_eat_bio_ssl_all,5,order,Passeriformes,100,233.03046516201857,112.56757885121118,11.608859207998808,5000
sl_eat_bio_ssl_all,5,order,other-Aves,300,245.67024078167458,115.13348030051657,13.738192638628833,15000
sl_eat_bio_ssl_all,6,class,Aves,400,316.53966489617363,153.60954552160885,12.662389917184813,20000
sl_eat_bio_ssl_all,6,class,Mammalia,200,232.41670816385908,100.0967694770928,2.252311436158432,10000
sl_eat_bio_ssl_all,6,order,Passeriformes,100,288.47204318162466,142.40204310035526,8.812038514704696,5000
