model,layer_idx,class,n_species,between_var,mean_within_var,separability_ratio
sl_eat_bio_ssl_all,3,Mammalia,15,1.309141050220356,29.824697005958118,0.04204881672019099
sl_eat_bio_ssl_all,4,Aves,13,1.2498265676853015,58.719573153915455,0.020841071838094763
sl_eat_bio_ssl_all,4,Mammalia,15,3.0872393216988576,55.04464131890687,0.05310750809500542
sl_eat_bio_ssl_all,5,Aves,13,1.969800354829085,65.7802028287553,0.029074542616499263
sl_eat_bio_ssl_all,5,Mammalia,15,4.446807882446803,61.17251434907137,0.06776674508702743
sl_eat_bio_ssl_all,6,Aves,13,2.2224823705800487,57.07020744830149,0.03748324418016717
sl_eat_bio_ssl_all,6,Mammalia,15,6.471424311231505,50.56847018606148,0.11345435275197831
sl_eat_bio_ssl_all,7,Aves,13,4.162491503483743,77.36568062024081,0.05105586688693178
sl_eat_bio_ssl_all,7,Mammalia,15,11.521316460145737,69.34589170450216,0.14247204425170723
sl_eat_bio_ssl_all,8,Aves,13,3.921663886466286,67.22527510513807,0.05512062700166284
sl_eat_bio_ssl_all,8,Mammalia,15,11.07417487532702,63.126383187427415,0.1492465173369874
sl_eat_bio_ssl_all,9,Aves,13,4.27291466264763,46.6674585406416,0.08388070981725214
