model,layer_idx,class,species,n_clips,within_var,centroid_norm
eat_all,6,Mammalia,Globicephala melaena,8,43.64153138678447,4.027835515778842
eat_all,6,Mammalia,Stenella attenuata,6,47.048928595616296,3.62899870077292
eat_all,6,Mammalia,Sciurus carolinensis,7,48.784345010241665,3.437516034917673
eat_all,6,Mammalia,Stenella coeruleoalba,5,43.343121619911265,4.0819123139191165
eat_all,6,Mammalia,Orcinus orca,28,47.868098694039304,3.501726527731112
eat_all,6,Mammalia,Pseudorca crassidens,8,46.08700680485081,3.7635356240566504
eat_all,6,Mammalia,Eubalaena glacialis,7,44.12929144285159,3.946879822660399
eat_all,6,Mammalia,Lagenorhynchus acutus,7,44.72511805480516,3.9155609706440138
eat_all,6,Mammalia,Megaptera novaeangliae,10,46.38034965806882,3.6234050543210974
eat_all,6,Mammalia,Globicephala macrorhynchus,9,46.24357819966809,3.7438610380460804
eat_all,6,Mammalia,Canis latrans,6,48.47835078133262,3.5423580442404954
eat_all,6,Mammalia,Physeter catodon,8,42.5617121916325,4.1597999361608196
eat_all,6,Mammalia,Balaenoptera physalus,12,39.13652574698585,4.631706190530652
eat_all,6,Mammalia,Erignathus barbatus,7,42.07365082896313,4.161414485777616
eat_all,7,Aves,Colaptes auratus,6,65.76642531342397,4.203176829797025
eat_all,7,Aves,Picus viridis,5,65.97509100917728,4.137351027458035
eat_all,7,Aves,Dendrocopos major,11,66.79622361531783,4.084559173671115
eat_all,7,Aves,Sterna paradisaea,5,68.28705186679822,3.964017115263165
eat_all,7,Aves,Dryobates pubescens,5,66.45106681656345,4.112845274984769
eat_all,7,Aves,Athene noctua,7,66.51888058944863,4.104465857333459
eat_all,7,Aves,Strix uralensis,5,54.06766897847886,5.281899854597182
eat_all,7,Aves,Calidris alpina,5,66.20153897232501,4.134056688323978
eat_all,7,Aves,Aegolius funereus,5,65.39476509021632,4.221650739265715
eat_all,7,Aves,Strix aluco,7,66.00659751535308,4.176321923103744
eat_all,7,Aves,Tyto alba,5,64.82326680871506,4.305051309763522
eat_all,7,Aves,Bubo virginianus,5,63.35330617006663,4.391838394203212
eat_all,7,Aves,Strix varia,6,63.910064623346685,4.362665112710299
eat_all,7,Mammalia,Delphinus delphis,9,64.18851113793735,4.456834653660253
eat_all,7,Mammalia,Globicephala melaena,8,60.83164544864661,4.828057498838167
eat_all,7,Mammalia,Stenella attenuata,6,65.96503562206686,4.3024769248073405
eat_all,7,Mammalia,Sciurus carolinensis,7,64.59935506380496,4.324327149994047
eat_all,7,Mammalia,Stenella coeruleoalba,5,60.08790155138488,4.877639327215723
eat_all,7,Mammalia,Orcinus orca,28,66.87982020351228,4.19594061939875
eat_all,7,Mammalia,Pseudorca crassidens,8,64.51391960667998,4.4791173985275785
eat_all,7,Mammalia,Eubalaena glacialis,7,62.43921225496409,4.716869782818363
eat_all,7,Mammalia,Lagenorhynchus acutus,7,61.18974042780743,4.729695921760827
eat_all,7,Mammalia,Megaptera novaeangliae,10,64.52642166954303,4.487378991393129
eat_all,7,Mammalia,Globicephala macrorhynchus,9,64.55700177670064,4.454777943089588
eat_all,7,Mammalia,Canis latrans,6,63.68944263163008,4.453790703898519
eat_all,7,Mammalia,Physeter catodon,8,59.413594491057154,4.951821799246265
eat_all,7,Mammalia,Balaenoptera physalus,12,57.0569301394088,5.353330312330262
eat_all,7,Mammalia,Erignathus barbatus,7,60.80580145287874,4.8967477289305155
eat_all,8,Aves,Colaptes auratus,6,59.20365414534441,4.1432577211059956
eat_all,8,Aves,Picus viridis,5,59.85292732475277,4.0065338779321165
eat_all,8,Aves,Dendrocopos major,11,60.19087176554387,4.022109312955305
eat_all,8,Aves,Sterna paradisaea,5,62.418240803639186,3.858105735859726
eat_all,8,Aves,Dryobates pubescens,5,59.52235541980552,3.995708130978644
eat_all,8,Aves,Athene noctua,7,59.988084766883716,4.0461758984988565
eat_all,8,Aves,Strix uralensis,5,49.990473235127666,4.828375946298807
