model,layer_idx,bootstrap,top1_share,top1_vs_bioaxis_abs_cos,cohens_d_top1,cohens_d_bioaxis
sl_eat_bio_ssl_all,12,5,0.08322683186099304,0.008034700620049129,-0.01196547414383848,2.784447592332621
sl_eat_bio_ssl_all,12,6,0.08261811017801297,0.06731677305845576,-0.10063911797233016,2.7686376111336712
sl_eat_bio_ssl_all,12,7,0.08256272863712513,0.05104464937184703,0.0753665287900133,3.012261668385323
sl_eat_bio_ssl_all,12,8,0.08199948630743846,0.03307503681683978,0.05159220468188337,2.790485401654773
sl_eat_bio_ssl_all,12,9,0.08038416479524811,0.06748538461652011,0.10651701824879972,2.8038443337175214
sl_eat_bio_ssl_all,12,10,0.08308221253770635,0.08603751789696074,-0.139022278561939,3.011643895582355
sl_eat_bio_ssl_all,12,11,0.08148215579580653,0.042914590449207785,0.061541104858526256,2.7357908945904006
sl_eat_bio_ssl_all,12,12,0.08380262952229003,0.011750375196819984,0.017412725164009234,3.039904657444199
sl_eat_bio_ssl_all,12,13,0.08336792328086003,0.04066593046615291,-0.060863008752200694,2.8556131403701475
sl_eat_bio_ssl_all,12,14,0.08390017578507131,0.12429211769640121,-0.19243323255510136,2.6592134460640517
sl_eat_bio_ssl_all,12,15,0.08251521393194394,0.017337328189704418,-0.02611331119841564,2.759920708138274
