model,layer_idx,split,n,mean_within_clip_var,mean_between_clip_var,within_total_ratio
sl_eat_bio_ssl_all,4,all,800,53.52547821409482,7.737754041272576,0.8736966079586072
sl_eat_bio_ssl_all,4,bio,600,54.498962795512874,6.713597671992078,0.8903232013051303
sl_eat_bio_ssl_all,4,nonbio,200,50.605024469840636,10.810223149114066,0.8239814448655306
sl_eat_bio_ssl_all,5,all,800,58.46014428379645,10.360973800281567,0.8494506615306122
sl_eat_bio_ssl_all,5,bio,600,59.61092365275917,9.464453977542393,0.8629836809840243
sl_eat_bio_ssl_all,5,nonbio,200,55.00780617690832,13.050533268499091,0.8082449061372192
sl_eat_bio_ssl_all,6,all,800,47.95398266100492,12.24438025850559,0.796599447814267
sl_eat_bio_ssl_all,6,bio,600,49.07741065987903,11.398225053724097,0.8115236835590597
sl_eat_bio_ssl_all,6,nonbio,200,44.58369866438255,14.782845872850057,0.7509902927973384
sl_eat_bio_ssl_all,7,all,800,62.36027640736047,20.83980092644607,0.7495218562978634
sl_eat_bio_ssl_all,7,bio,600,64.01610514226573,20.01593847156353,0.7618058824851728
sl_eat_bio_ssl_all,7,nonbio,200,57.39279020264472,23.311388291093696,0.7111501693446721
sl_eat_bio_ssl_all,8,all,800,55.00512692158736,19.19235886699947,0.7413341077124251
sl_eat_bio_ssl_all,8,bio,600,56.34776629494987,18.583967780389994,0.7519880193656695
sl_eat_bio_ssl_all,8,nonbio,200,50.977208801499835,21.01753212682789,0.7080685081185126
sl_eat_bio_ssl_all,9,all,800,37.09514526690914,16.820764483461083,0.6880185355057358
sl_eat_bio_ssl_all,9,bio,600,37.502098468834106,16.69562597961074,0.6919496870114479
sl_eat_bio_ssl_all,9,nonbio,200,35.87428566113422,17.196179995012116,0.6759745786586943
sl_eat_bio_ssl_all,10,all,800,22.262348701733345,10.093485437956131,0.6880474354523007
sl_eat_bio_ssl_all,10,bio,600,22.20140059916097,10.074401214275591,0.6878651916222397
sl_eat_bio_ssl_all,10,nonbio,200,22.445193009450477,10.150738108997757,0.6885887974142647
sl_eat_bio_ssl_all,11,all,800,21.882222870043087,8.226214074694816,0.7267804340094605
sl_eat_bio_ssl_all,11,bio,600,21.459219942312604,8.2260763066391,0.7228905435993555
sl_eat_bio_ssl_all,11,nonbio,200,23.151231653234525,8.226627378861972,0.7378206279004909
sl_eat_bio_ssl_all,12,all,800,165.83105316427202,75.2015748780826,0.6880025103287342
sl_eat_bio_ssl_all,12,bio,600,161.99089377629062,79.13714050049562,0.671804480396271
sl_eat_bio_ssl_all,12,nonbio,200,177.35153132821634,63.394878010843534,0.7366736302116135
random_init_eat_seed42,0,all,800,422.20087254870975,202.74159716392293,0.6755835825061631
random_init_eat_seed42,0,bio,600,440.88842788630575,199.14731295704445,0.6888496997142133
random_init_eat_seed42,0,nonbio,200,366.13820653592165,213.52444978455839,0.6316401488756481
random_init_eat_seed42,1,all,800,401.2846118562697,223.53324546500724,0.6422425466145599
random_init_eat_seed42,1,bio,600,420.0958189234892,217.50316292029913,0.6588715334969162
random_init_eat_seed42,1,nonbio,200,344.85099065461077,241.6234930991315,0.5880068105391129
random_init_eat_seed42,2,all,800,383.9501375700089,242.4275327833571,0.6129690692093261
random_init_eat_seed42,2,bio,600,402.8703126196308,235.531936211422,0.6310602967914147
random_init_eat_seed42,2,nonbio,200,327.18961242114324,263.1143224991626,0.5542731346781816
random_init_eat_seed42,3,all,800,367.3472903947862,260.94705367762566,0.5846738775551494
random_init_eat_seed42,3,bio,600,385.26349268155576,254.3017498721208,0.6023834114925685
random_init_eat_seed42,3,nonbio,200,313.59868353447763,280.88296509414016,0.52751617187495
random_init_eat_seed42,4,all,800,345.24277052289074,281.4027742309392,0.550937884124773
random_init_eat_seed42,4,bio,600,361.19826959406305,274.9798316440548,0.5677628149901824
random_init_eat_seed42,4,nonbio,200,297.3762733093735,300.6716019915923,0.49724492902799755
random_init_eat_seed42,5,all,800,323.4821473961669,303.4974400154004,0.515937287099945
random_init_eat_seed42,5,bio,600,337.20395428502445,298.7577954787642,0.5302267855107167
random_init_eat_seed42,5,nonbio,200,282.31672672959417,317.7163736253091,0.4705019215816786
random_init_eat_seed42,6,all,800,307.20170886023743,316.3832974921542,0.4926380617410738
random_init_eat_seed42,6,bio,600,319.91708519165377,311.40473987414805,0.5067416846523708
random_init_eat_seed42,6,nonbio,200,269.0555798659885,331.3189703461725,0.44814621101262425
random_init_eat_seed42,7,all,800,291.0113353598585,333.0757038717647,0.46629927729015497
