model,layer_idx,species,n_clips,within_var,centroid_norm,cos_to_global_bio_centroid,class
eat_all,6,Erignathus barbatus,7,42.07365082896313,4.161414485777616,0.7154896860380489,Mammalia
eat_all,6,Lagenorhynchus acutus,7,44.72511805480516,3.9155609706440138,0.8925347440386677,Mammalia
eat_all,6,Strix uralensis,5,41.7446539500468,4.395731108529707,0.8200084306471227,Aves
eat_all,6,Strix varia,6,49.02957150069577,3.4441257632751805,0.9051603106492471,Aves
eat_all,6,Calidris alpina,5,48.98879727042808,3.3969884008233433,0.9234158772700736,Aves
eat_all,6,Colaptes auratus,6,49.64445594517625,3.33646243051376,0.883104819039291,Aves
eat_all,6,Dryobates pubescens,5,49.62250119026416,3.262326562981044,0.9253162248689927,Aves
eat_all,6,Canis latrans,6,48.47835078133262,3.5423580442404954,0.8903085995777956,Mammalia
eat_all,6,Dendrocopos major,11,49.933571349874256,3.2641738498290915,0.9112637029658563,Aves
eat_all,6,Stenella coeruleoalba,5,43.343121619911265,4.0819123139191165,0.8219937542269423,Mammalia
eat_all,6,Stenella attenuata,6,47.048928595616296,3.62899870077292,0.838179174478523,Mammalia
eat_all,6,Tyto alba,5,48.071429739882646,3.573929744805237,0.9244437889512888,Aves
eat_all,6,Megaptera novaeangliae,10,46.38034965806882,3.6234050543210974,0.7877216403850379,Mammalia
eat_all,6,Picus viridis,5,49.28394179734238,3.3390005704829147,0.9087301264407663,Aves
eat_all,6,Athene noctua,7,49.51760979432199,3.3511403589355715,0.8941871636642607,Aves
eat_all,6,Bubo virginianus,5,47.51957679858485,3.638647516061623,0.8899776656891247,Aves
eat_all,6,Sciurus carolinensis,7,48.784345010241665,3.437516034917673,0.9038252436391043,Mammalia
eat_all,6,Pseudorca crassidens,8,46.08700680485081,3.7635356240566504,0.8147221176191061,Mammalia
eat_all,6,Globicephala macrorhynchus,9,46.24357819966809,3.7438610380460804,0.8737104692568606,Mammalia
eat_all,6,Globicephala melaena,8,43.64153138678447,4.027835515778842,0.8425958578958616,Mammalia
eat_all,6,Sterna paradisaea,5,51.3204356705487,3.0768220865717444,0.8830208718461174,Aves
eat_all,6,Strix aluco,7,49.02236749049187,3.416452133057769,0.9041945910847424,Aves
eat_all,6,Balaenoptera physalus,12,39.13652574698585,4.631706190530652,0.5492890904599488,Mammalia
eat_all,7,Delphinus delphis,9,64.18851113793735,4.456834653660253,0.868987176942723,Mammalia
eat_all,7,Eubalaena glacialis,7,62.43921225496409,4.716869782818363,0.801556537149657,Mammalia
eat_all,7,Aegolius funereus,5,65.39476509021632,4.221650739265715,0.8993443324262517,Aves
eat_all,7,Physeter catodon,8,59.413594491057154,4.951821799246265,0.7800969300075907,Mammalia
eat_all,7,Orcinus orca,28,66.87982020351228,4.19594061939875,0.8565597191826402,Mammalia
eat_all,7,Erignathus barbatus,7,60.80580145287874,4.8967477289305155,0.7796574029674042,Mammalia
eat_all,7,Lagenorhynchus acutus,7,61.18974042780743,4.729695921760827,0.8804679432852295,Mammalia
eat_all,7,Strix uralensis,5,54.06766897847886,5.281899854597182,0.8360253108809085,Aves
