model,layer_idx,n_samples,eff_rank_pooled,pr_pooled,twonn_pooled,n_rows,eff_rank_frame,pr_frame,twonn_frame,mle_id_frame,eff_rank_ratio_frame_over_pooled,twonn_ratio_frame_over_pooled
sl_eat_bio_ssl_all,1,600,11.769218992516311,5.460668658043972,10.394958175959484,30000,61.89061258507913,29.947390255740938,6.067544447653579,9.439848767146946,5.258684762721596,0.5837007080688449
sl_eat_bio_ssl_all,2,600,20.24006986071785,8.543698041751925,9.9629399047029,30000,103.01875117641336,56.28206086941367,8.809750202182178,12.849960632320258,5.089841679665014,0.8842520668044609
sl_eat_bio_ssl_all,3,600,31.248518166758608,12.041586740229915,9.728365707321874,30000,134.5539461144895,72.22850958452118,10.159235492128522,13.500773265950874,4.305930457132032,1.0442900480686454
sl_eat_bio_ssl_all,4,600,48.176173428297474,17.539753889869292,9.875786557941389,30000,193.86154743434858,96.6340579026116,2.631867244545853,14.05324301558073,4.024012984818739,0.2664969751122757
sl_eat_bio_ssl_all,5,600,77.7903298942058,28.37801906019426,10.55622970072028,30000,257.3208427711694,121.20472271326885,7.356559010844005,12.197380899956768,3.307876996036957,0.6968926614340389
sl_eat_bio_ssl_all,6,600,106.19100937558504,41.67581710112377,10.366872988946191,30000,317.2800204071892,150.7304996163095,5.718721566773229,10.52600201918381,2.9878237552579177,0.5516341883295848
sl_eat_bio_ssl_all,7,600,132.22256491941843,54.984468056483294,10.758321306749476,30000,347.94337566505624,166.89083644453882,4.785964185222835,9.123009165992116,2.6314977014483607,0.44486161444353334
sl_eat_bio_ssl_all,8,600,136.15934470722695,56.21899682725989,9.507152499104311,30000,305.08998276182564,127.54789472430224,4.274073237170942,8.76331634577361,2.2406833950166063,0.4495639717122042
sl_eat_bio_ssl_all,9,600,148.14654065598805,61.603027551631946,9.13577447005731,30000,315.09796493616795,134.04733418609032,3.044459222555974,7.234378186459329,2.12693434177352,0.3332458821673249
sl_eat_bio_ssl_all,10,600,144.74892025274937,54.856785209506896,9.07013689873238,30000,283.2788196038412,106.1972439852688,2.8584081856681527,7.255193778981856,1.9570358045448744,0.31514498817185843
sl_eat_bio_ssl_all,11,600,127.59970726472692,33.41179971865619,9.30653133311074,30000,253.92788932546569,64.03402897186209,2.8774839757336235,8.257136365613183,1.9900350460730278,0.30918973705016417
sl_eat_bio_ssl_all,12,600,107.51989838183152,43.16761173612712,8.716375372377325,30000,188.65911920616287,67.76647075621999,2.872303252560114,9.227875416577819,1.7546437640424897,0.3295295498244146
