model,layer_idx,order,n_clips,abs_cos_parent_vs_subord,subord_norm
sl_eat_bio_ssl_all,3,Passeriformes,100,0.05819273800573626,0.22421095857869425
sl_eat_bio_ssl_all,3,Charadriiformes,100,0.1417355651793282,0.21199652376267059
sl_eat_bio_ssl_all,3,Piciformes,100,0.27887839127141495,0.1997973717165065
sl_eat_bio_ssl_all,3,Strigiformes,100,0.27440061543826183,0.3601047141736663
sl_eat_bio_ssl_all,4,Passeriformes,100,0.02840063978179883,0.3542775370768502
sl_eat_bio_ssl_all,4,Charadriiformes,100,0.04064333994065118,0.36778119162982276
sl_eat_bio_ssl_all,4,Piciformes,100,0.26432691321476376,0.3140382732829431
sl_eat_bio_ssl_all,4,Strigiformes,100,0.19683663876368446,0.54878705266694
sl_eat_bio_ssl_all,5,Passeriformes,100,0.029921504389598678,0.4103289121703633
sl_eat_bio_ssl_all,5,Charadriiformes,100,0.10433241901653227,0.5274548578856778
sl_eat_bio_ssl_all,5,Piciformes,100,0.06650269085239569,0.4043373449510608
sl_eat_bio_ssl_all,5,Strigiformes,100,0.10613467150863472,0.6561709868860299
sl_eat_bio_ssl_all,6,Passeriformes,100,0.0586450693948503,0.40683951007678665
sl_eat_bio_ssl_all,6,Charadriiformes,100,0.11706418908927178,0.5891576709691402
sl_eat_bio_ssl_all,6,Piciformes,100,0.01573790802193678,0.40512329426431604
sl_eat_bio_ssl_all,6,Strigiformes,100,0.07992236352946172,0.644198939698817
sl_eat_bio_ssl_all,7,Passeriformes,100,0.028869470859767946,0.5948894321480328
sl_eat_bio_ssl_all,7,Charadriiformes,100,0.035971128614673956,0.8126060397814534
sl_eat_bio_ssl_all,7,Piciformes,100,0.03682957237611091,0.6201160833284369
sl_eat_bio_ssl_all,7,Strigiformes,100,0.07705671151225786,0.898634556109457
sl_eat_bio_ssl_all,8,Passeriformes,100,0.07440006675558122,0.6042662359163398
sl_eat_bio_ssl_all,8,Charadriiformes,100,0.07133080208723831,0.799932321167882
sl_eat_bio_ssl_all,8,Piciformes,100,0.0030116565643755235,0.5994066234672717
sl_eat_bio_ssl_all,8,Strigiformes,100,0.11416177300366087,0.9094351930378063
sl_eat_bio_ssl_all,9,Passeriformes,100,0.09608810064976618,0.5767775250347772
sl_eat_bio_ssl_all,9,Charadriiformes,100,0.05114625844145991,0.8135845994424263
sl_eat_bio_ssl_all,9,Piciformes,100,0.028062151122124835,0.6457872632248619
sl_eat_bio_ssl_all,9,Strigiformes,100,0.09353395174708339,0.8436919370734359
sl_eat_bio_ssl_all,10,Passeriformes,100,0.019106218022691447,0.4217363417074331
sl_eat_bio_ssl_all,10,Charadriiformes,100,0.09176054539691487,0.595421553798175
sl_eat_bio_ssl_all,10,Piciformes,100,0.08972189073355759,0.49046736153965054
sl_eat_bio_ssl_all,10,Strigiformes,100,0.15070019349375607,0.6010447511024827
sl_eat_bio_ssl_all,11,Passeriformes,100,0.008417825228858054,0.34702011811753974
sl_eat_bio_ssl_all,11,Charadriiformes,100,0.08011454730040893,0.44836739516032803
sl_eat_bio_ssl_all,11,Piciformes,100,0.26322772547644796,0.3884369076293856
sl_eat_bio_ssl_all,11,Strigiformes,100,0.2751051542872787,0.512874413515324
sl_eat_bio_ssl_all,12,Passeriformes,100,0.06891499180929979,1.1245160721392975
sl_eat_bio_ssl_all,12,Charadriiformes,100,0.017714561014011802,1.392879816719075
sl_eat_bio_ssl_all,12,Piciformes,100,0.1386258969255913,1.2542470746176693
sl_eat_bio_ssl_all,12,Strigiformes,100,0.1551199192849243,1.4613777647899464
random_init_eat_seed42,0,Passeriformes,100,0.9853502619108284,2.2190910363906395
random_init_eat_seed42,0,Charadriiformes,100,0.5542775656982623,0.4470537748332633
random_init_eat_seed42,0,Piciformes,100,0.9795343217761416,2.773824544726963
random_init_eat_seed42,0,Strigiformes,100,0.9251906479541437,0.8411943659695282
random_init_eat_seed42,1,Passeriformes,100,0.8892000840018083,2.2281618127641716
random_init_eat_seed42,1,Charadriiformes,100,0.6557539591971221,0.4497400211788185
random_init_eat_seed42,1,Piciformes,100,0.8677570005247306,2.6056036375475027
random_init_eat_seed42,1,Strigiformes,100,0.8350806084829612,0.688164116249443
random_init_eat_seed42,2,Passeriformes,100,0.8660895290703823,2.422893835011533
random_init_eat_seed42,2,Charadriiformes,100,0.8099384032108435,0.5325346426749151
random_init_eat_seed42,2,Piciformes,100,0.7983972550273143,3.0618931982176663
random_init_eat_seed42,2,Strigiformes,100,0.7575304120090133,1.0263366812496908
random_init_eat_seed42,3,Passeriformes,100,0.861535304872563,2.6066093841340283
random_init_eat_seed42,3,Charadriiformes,100,0.8619474784417431,0.6740869002930414
random_init_eat_seed42,3,Piciformes,100,0.8357628331520653,2.7886183682905648
random_init_eat_seed42,3,Strigiformes,100,0.8263075853315427,0.8059537923200962
random_init_eat_seed42,4,Passeriformes,100,0.9034529833139223,2.6172286484090717
random_init_eat_seed42,4,Charadriiformes,100,0.844736914382222,0.6514353438288489
random_init_eat_seed42,4,Piciformes,100,0.8469167510131155,2.93752626343533
random_init_eat_seed42,4,Strigiformes,100,0.8185224396271336,0.8229322807402376
random_init_eat_seed42,5,Passeriformes,100,0.9019461975043082,2.8349249011258073
random_init_eat_seed42,5,Charadriiformes,100,0.8714680034662283,0.7741922890178333
random_init_eat_seed42,5,Piciformes,100,0.8736960228435643,2.9257760033034854
random_init_eat_seed42,5,Strigiformes,100,0.7935790808285859,0.8492812027086198
random_init_eat_seed42,6,Passeriformes,100,0.9000971782439279,2.970561684944397
