model,layer_idx,order_a,order_b,abs_cos_subord_pair
random_init_eat_seed42,5,Passeriformes,Strigiformes,0.8884145387634526
random_init_eat_seed42,5,Charadriiformes,Piciformes,0.8557069628733983
random_init_eat_seed42,5,Charadriiformes,Strigiformes,0.7923783670529048
random_init_eat_seed42,5,Piciformes,Strigiformes,0.9414329342344768
random_init_eat_seed42,6,Passeriformes,Charadriiformes,0.8765910687003662
random_init_eat_seed42,6,Passeriformes,Piciformes,0.9837879304803193
random_init_eat_seed42,6,Passeriformes,Strigiformes,0.856417843823986
random_init_eat_seed42,6,Charadriiformes,Piciformes,0.804083109639835
random_init_eat_seed42,6,Charadriiformes,Strigiformes,0.740479850387957
random_init_eat_seed42,6,Piciformes,Strigiformes,0.9133268675707192
random_init_eat_seed42,7,Passeriformes,Charadriiformes,0.7095657619593019
random_init_eat_seed42,7,Passeriformes,Piciformes,0.9742640970986027
random_init_eat_seed42,7,Passeriformes,Strigiformes,0.8825016658077809
random_init_eat_seed42,7,Charadriiformes,Piciformes,0.5522649109200324
random_init_eat_seed42,7,Charadriiformes,Strigiformes,0.5479758603858439
random_init_eat_seed42,7,Piciformes,Strigiformes,0.9314940075942445
random_init_eat_seed42,8,Passeriformes,Charadriiformes,0.8443967167822469
random_init_eat_seed42,8,Passeriformes,Piciformes,0.9814571947311673
random_init_eat_seed42,8,Passeriformes,Strigiformes,0.8771088577167218
random_init_eat_seed42,8,Charadriiformes,Piciformes,0.7443385409344385
random_init_eat_seed42,8,Charadriiformes,Strigiformes,0.6871695274749979
random_init_eat_seed42,8,Piciformes,Strigiformes,0.9278611776677236
random_init_eat_seed42,9,Passeriformes,Charadriiformes,0.7911734350806006
random_init_eat_seed42,9,Passeriformes,Piciformes,0.9814369412700802
random_init_eat_seed42,9,Passeriformes,Strigiformes,0.8506556090528713
random_init_eat_seed42,9,Charadriiformes,Piciformes,0.6802615275008267
random_init_eat_seed42,9,Charadriiformes,Strigiformes,0.6459070518049365
random_init_eat_seed42,9,Piciformes,Strigiformes,0.8992883065128144
