model,layer_idx,species,n_clips,within_var,centroid_norm,cos_to_global_bio_centroid,class
sl_eat_bio_ssl_all,5,Megaptera novaeangliae,8,64.97886117794887,2.845671960207292,0.7616281368874138,Mammalia
sl_eat_bio_ssl_all,5,Anthus trivialis,5,65.74963686226026,2.865862150550721,0.6294158700518759,Aves
sl_eat_bio_ssl_all,5,Globicephala macrorhynchus,7,61.55385812716748,3.2308462246077916,0.8282996463018278,Mammalia
sl_eat_bio_ssl_all,5,Orcinus orca,18,63.998791423654836,2.9908699982490052,0.7485935248532036,Mammalia
sl_eat_bio_ssl_all,5,Fringilla coelebs,14,68.14320975577037,2.395158728008963,0.7685358515758038,Aves
sl_eat_bio_ssl_all,5,Turdus merula,10,68.39146698873519,2.3622682864101274,0.7462981952430926,Aves
sl_eat_bio_ssl_all,6,Lagenorhynchus acutus,6,50.96790467623899,3.5012416523477596,0.7685894593361228,Mammalia
sl_eat_bio_ssl_all,6,Delphinus delphis,8,51.57792673952386,3.5010421453205915,0.7796150047796483,Mammalia
sl_eat_bio_ssl_all,6,Balaenoptera physalus,8,41.94880320883829,4.670238199797307,0.5440881674136229,Mammalia
sl_eat_bio_ssl_all,6,Erithacus rubecula,6,57.01513016976586,2.685511938778569,0.6759947723679344,Aves
sl_eat_bio_ssl_all,6,Parus major,6,58.52898545830273,2.427293575880155,0.6569362608460282,Aves
sl_eat_bio_ssl_all,6,Stenella coeruleoalba,5,49.05465123305605,3.792629225502282,0.7142577460517702,Mammalia
sl_eat_bio_ssl_all,6,Megaptera novaeangliae,8,47.73795440151079,3.918754757745454,0.5830599017603181,Mammalia
sl_eat_bio_ssl_all,6,Anthus trivialis,5,55.64996173229908,2.972353371409688,0.5825729984205738,Aves
sl_eat_bio_ssl_all,6,Globicephala macrorhynchus,7,54.14709877335051,3.114706325437268,0.7882252516086031,Mammalia
sl_eat_bio_ssl_all,6,Orcinus orca,18,54.48336402185239,3.006130763035706,0.7152839274521186,Mammalia
sl_eat_bio_ssl_all,6,Fringilla coelebs,14,58.99991354427344,2.3361660214845568,0.7148983648217451,Aves
sl_eat_bio_ssl_all,6,Turdus merula,10,58.68647367733989,2.3456515291831224,0.6791559514866611,Aves
sl_eat_bio_ssl_all,7,Lagenorhynchus acutus,6,70.68864863583902,4.471158132434471,0.7283542483022726,Mammalia
sl_eat_bio_ssl_all,7,Delphinus delphis,8,70.62769011104331,4.446246459081169,0.7356546959989265,Mammalia
sl_eat_bio_ssl_all,7,Balaenoptera physalus,8,57.780911003293085,5.74152870650844,0.5303800457757726,Mammalia
sl_eat_bio_ssl_all,7,Erithacus rubecula,6,75.56238555105712,3.683661603271179,0.7001796444625866,Aves
sl_eat_bio_ssl_all,7,Parus major,6,78.32139157716446,3.397593449366586,0.7089278601840796,Aves
sl_eat_bio_ssl_all,7,Stenella coeruleoalba,5,67.98411411677961,4.745448261867465,0.7180788806134437,Mammalia
sl_eat_bio_ssl_all,7,Megaptera novaeangliae,8,64.77501615035838,5.203598111698673,0.5461077435707902,Mammalia
sl_eat_bio_ssl_all,7,Anthus trivialis,5,73.15304479888273,4.098818062204985,0.5833557864065095,Aves
sl_eat_bio_ssl_all,7,Globicephala macrorhynchus,7,71.48959036369216,4.4563027999106035,0.7157352771685517,Mammalia
sl_eat_bio_ssl_all,7,Orcinus orca,18,75.10190609723358,4.02684025688944,0.6849010507213172,Mammalia
sl_eat_bio_ssl_all,7,Fringilla coelebs,14,78.11033504283033,3.364954176560866,0.7051988882019483,Aves
sl_eat_bio_ssl_all,7,Turdus merula,10,77.93828196002927,3.3623251525926205,0.7091080651749194,Aves
sl_eat_bio_ssl_all,8,Lagenorhynchus acutus,6,64.1154945416196,4.355768107133062,0.6902911066389299,Mammalia
sl_eat_bio_ssl_all,8,Delphinus delphis,8,62.67325742124692,4.577217153280801,0.7247662484005343,Mammalia
sl_eat_bio_ssl_all,8,Balaenoptera physalus,8,55.49449759882922,5.442131055570155,0.48118886720863524,Mammalia
sl_eat_bio_ssl_all,8,Erithacus rubecula,6,67.39012926280053,3.7492348789091494,0.7377139387203652,Aves
sl_eat_bio_ssl_all,8,Parus major,6,69.24559605537519,3.5964903514695385,0.7302012651563454,Aves
sl_eat_bio_ssl_all,8,Stenella coeruleoalba,5,61.17760120283997,4.743358901682683,0.7067065682456184,Mammalia
sl_eat_bio_ssl_all,8,Megaptera novaeangliae,8,61.35928990393261,4.741599633554569,0.5250676263008841,Mammalia
sl_eat_bio_ssl_all,8,Anthus trivialis,5,62.914699902569694,4.369053461883232,0.6373312189398854,Aves
sl_eat_bio_ssl_all,8,Globicephala macrorhynchus,7,66.17723644676154,4.030544955085484,0.6894982863836265,Mammalia
sl_eat_bio_ssl_all,8,Orcinus orca,18,67.02645590303334,3.9589600676402203,0.7070866433456734,Mammalia
sl_eat_bio_ssl_all,8,Fringilla coelebs,14,67.31073546193934,3.786098155433953,0.7315124800324319,Aves
