source_dataset,layer_idx,layer_name,cosine_similarity_mean,cosine_similarity_std,cosine_similarity_median,cosine_distance_mean,cosine_distance_std,cosine_distance_median,l2_distance_mean,l2_distance_std,l2_distance_median,norm_model_a_mean,norm_model_a_std,norm_model_a_median,norm_model_b_mean,norm_model_b_std,norm_model_b_median,norm_delta_b_minus_a_mean,norm_delta_b_minus_a_std,norm_delta_b_minus_a_median
NatureLM,1,model.blocks.0,0.8159895747900009,0.04239278728250514,0.819552093744278,0.18401042520999908,0.042392787282505145,0.18044790625572205,1.6587888997793199,0.39892194782880425,1.5987536311149597,2.917744084596634,0.8858940702320279,2.938568592071533,2.538066374063492,0.7634329383042766,2.4300453662872314,-0.3796777105331421,0.23638295703843237,-0.39957404136657715
NatureLM,2,model.blocks.1,0.7627428036928177,0.043291660185923425,0.7569113075733185,0.2372571963071823,0.043291660185923404,0.24308869242668152,2.0442123568058013,0.5378564454564687,2.066596269607544,3.0375450432300566,0.8278630055104996,2.992942452430725,2.8534782731533053,0.7921988347819481,2.67613685131073,-0.1840667700767517,0.32946779700596734,-0.17501407861709595
NatureLM,3,model.blocks.2,0.7470925587415695,0.06990210329535174,0.7431625127792358,0.25290744125843045,0.06990210329535172,0.25683748722076416,2.160709545612335,0.566353188613516,2.2979331016540527,3.009813929796219,0.7631153616702545,3.1404718160629272,3.019601777791977,0.6459998390592518,2.888684868812561,0.009787847995758056,0.36956784349656774,0.03707325458526611
NatureLM,4,model.blocks.3,0.7089677208662033,0.0915822895135392,0.7114761471748352,0.2910322791337967,0.09158228951353922,0.2885238528251648,3.2110677015781404,0.9476958842899309,3.3430681228637695,4.393762451410294,1.2070461901651042,4.6018805503845215,3.932890815734863,0.8336700818156159,3.794732689857483,-0.4608716356754303,0.6012548131275025,-0.5280616283416748
NatureLM,5,model.blocks.4,0.6420016154646874,0.11815506617151653,0.6446488499641418,0.3579983842372894,0.11815506582620904,0.35535115003585815,3.7203152537345887,1.0195617950437759,3.706674814224243,4.542902369499206,1.1435373215479692,4.760462522506714,4.238252778053283,0.7464681154555396,4.172077894210815,-0.30464959144592285,0.6488720987305422,-0.3766312599182129
NatureLM,6,model.blocks.5,0.5609072250127792,0.10062452759797687,0.5632250607013702,0.4390927767753601,0.10062452883066064,0.43677493929862976,4.232264144420624,0.9122998496074141,4.347436189651489,4.597414066791535,1.0782425401996907,4.791665554046631,4.380518290996552,0.5616473042583475,4.346902132034302,-0.2168957757949829,0.6918165771110268,-0.35147035121917725
NatureLM,7,model.blocks.6,0.48119068413972854,0.10117444977510377,0.49031946063041687,0.5188093131780624,0.10117444756561272,0.5096805691719055,5.5420123171806335,0.9444000172455446,5.603903293609619,5.255162544250489,0.9517356894429796,5.291501045227051,5.5717945528030395,0.5248848245048258,5.54079532623291,0.31663200855255125,0.6878835292059728,0.3364870548248291
NatureLM,8,model.blocks.7,0.4506459295749664,0.12556900854612896,0.4749233275651932,0.5493540692329407,0.12556900799946064,0.525076687335968,5.425997636318207,0.9538067613854675,5.362243413925171,4.795914103984833,0.9682713670635648,4.799419641494751,5.441478137969971,0.4177763131765262,5.403060436248779,0.645564033985138,0.7750999689935443,0.630366325378418
NatureLM,9,model.blocks.8,0.3501277906820178,0.10681431503895522,0.3677104264497757,0.6498722100257873,0.10681431196293152,0.6322895884513855,4.93592992067337,0.7552363544797887,4.792195796966553,3.5752672719955445,0.8219916782976201,3.679365873336792,4.7939253163337705,0.3361233046667779,4.813094139099121,1.2186580443382262,0.7175367957749816,1.3222311735153198
NatureLM,10,model.blocks.9,0.3090283219516277,0.09164707133282848,0.30985310673713684,0.6909716767072678,0.09164707055613601,0.6901468932628632,3.7798977971076964,0.4464568284665043,3.728546380996704,2.602410361766815,0.55889891127538,2.600523591041565,3.6013969564437867,0.20162988668926374,3.5758230686187744,0.9989865946769715,0.5703241023774026,1.1506205797195435
