model,layer_idx,top_k,mean_cos_principal_angles,n_bio_frames,n_nonbio_frames
random_init_eat_seed42,1,20,0.9089697268438457,20000,10000
random_init_eat_seed42,1,50,0.9392939493727189,20000,10000
random_init_eat_seed42,2,5,0.9880253661705055,20000,10000
random_init_eat_seed42,2,10,0.9863868140760479,20000,10000
random_init_eat_seed42,2,20,0.9121360354030305,20000,10000
random_init_eat_seed42,2,50,0.9382491460134559,20000,10000
random_init_eat_seed42,3,5,0.9917574049193811,20000,10000
random_init_eat_seed42,3,10,0.9867139663229751,20000,10000
random_init_eat_seed42,3,20,0.9079900678413952,20000,10000
random_init_eat_seed42,3,50,0.9202090044632145,20000,10000
random_init_eat_seed42,4,5,0.9906069851105537,20000,10000
random_init_eat_seed42,4,10,0.9798372214551095,20000,10000
random_init_eat_seed42,4,20,0.9262759826142826,20000,10000
random_init_eat_seed42,4,50,0.922238782849918,20000,10000
random_init_eat_seed42,5,5,0.9909981925991769,20000,10000
random_init_eat_seed42,5,10,0.990354806791865,20000,10000
random_init_eat_seed42,5,20,0.9200936574023885,20000,10000
random_init_eat_seed42,5,50,0.9201908355267876,20000,10000
random_init_eat_seed42,6,5,0.9881556298835645,20000,10000
random_init_eat_seed42,6,10,0.9886762274620662,20000,10000
random_init_eat_seed42,6,20,0.9345645002663702,20000,10000
random_init_eat_seed42,6,50,0.9156862254784224,20000,10000
random_init_eat_seed42,7,5,0.9887121437437457,20000,10000
random_init_eat_seed42,7,10,0.9812767528205241,20000,10000
random_init_eat_seed42,7,20,0.9190656342394398,20000,10000
random_init_eat_seed42,7,50,0.9260487624061097,20000,10000
random_init_eat_seed42,8,5,0.981211741296331,20000,10000
random_init_eat_seed42,8,10,0.9356317385922301,20000,10000
random_init_eat_seed42,8,20,0.931146027516213,20000,10000
random_init_eat_seed42,8,50,0.9252080893376551,20000,10000
random_init_eat_seed42,9,5,0.9847131889033005,20000,10000
random_init_eat_seed42,9,10,0.9118153214570709,20000,10000
random_init_eat_seed42,9,20,0.9417787725114828,20000,10000
random_init_eat_seed42,9,50,0.9189956442922664,20000,10000
random_init_eat_seed42,10,5,0.9854128058292076,20000,10000
random_init_eat_seed42,10,10,0.8921160310618058,20000,10000
random_init_eat_seed42,10,20,0.9378574523299404,20000,10000
random_init_eat_seed42,10,50,0.9178241786919553,20000,10000
random_init_eat_seed42,11,5,0.9885905830109769,20000,10000
random_init_eat_seed42,11,10,0.9516330736851397,20000,10000
random_init_eat_seed42,11,20,0.9258680182818173,20000,10000
random_init_eat_seed42,11,50,0.9061682569815807,20000,10000
random_init_eat_seed42,12,5,0.9818865394455708,20000,10000
random_init_eat_seed42,12,10,0.9668042007028369,20000,10000
random_init_eat_seed42,12,20,0.9203369885217179,20000,10000
random_init_eat_seed42,12,50,0.9135176453727797,20000,10000
