model,layer_idx,metric,n_bootstraps,p05,p50,p95,mean,std
sl_eat_all_ssl_all,5,top10_share,30,0.2661028576206652,0.2713729510549954,0.27462483800980686,0.27071577593822543,0.0026781308603513712
sl_eat_all_ssl_all,5,mean_l2_norm,30,8.618148624608152,8.62605510746744,8.632500257167855,8.625926972848863,0.0048516778795175295
sl_eat_all_ssl_all,7,cos_class_aves_vs_mammalia,30,0.551557197226631,0.5767646610925423,0.608382706835221,0.5791178953731209,0.01901686807946358
sl_eat_all_ssl_all,7,cos_order_passer_vs_other_aves,30,0.7532723624500052,0.8087943932195896,0.8496638808135235,0.8071564196411611,0.02932426264576845
sl_eat_all_ssl_all,7,abs_cos_veitch_class_vs_passer_subord,30,0.1821085514049165,0.38895950928181977,0.5703539966552356,0.3788894701066631,0.12053438048955739
sl_eat_all_ssl_all,7,species_separability_ratio,30,0.10746491909936029,0.11616563304800892,0.12548967392451824,0.11600438443078737,0.006058009706725107
sl_eat_all_ssl_all,7,top1_share,30,0.04917109050947734,0.052278959642846755,0.05368792017170691,0.0516548884062696,0.0016516491170157066
sl_eat_all_ssl_all,7,top10_share,30,0.24957048208676044,0.25384195858820896,0.2571336891584426,0.25337149658129116,0.002869267800645944
sl_eat_all_ssl_all,7,mean_l2_norm,30,8.731802078863335,8.748539937266983,8.758416640503073,8.747762576983074,0.008046456752671521
sl_eat_all_ssl_all,9,cos_class_aves_vs_mammalia,30,0.43716399941225664,0.4735552296018739,0.5294291677936784,0.47524806661732416,0.02784415344160648
sl_eat_all_ssl_all,9,cos_order_passer_vs_other_aves,30,0.7224192482521009,0.7624907600346098,0.8170779033883132,0.7627610183669252,0.03224000570770043
sl_eat_all_ssl_all,9,abs_cos_veitch_class_vs_passer_subord,30,0.2060881182543727,0.2872080453561269,0.4647431425641987,0.3205869079945719,0.0858765833593174
sl_eat_all_ssl_all,9,species_separability_ratio,30,0.09646152409909416,0.10604714401726223,0.1228025392130342,0.10694327304279719,0.008086301465712795
sl_eat_all_ssl_all,9,top1_share,30,0.04349105188714868,0.044738786055405856,0.046123120934537805,0.04479631354604062,0.0008956442811869253
sl_eat_all_ssl_all,9,top10_share,30,0.27696611786208586,0.28094528497633803,0.2849609895262419,0.28108478510577034,0.002381168882112806
sl_eat_all_ssl_all,9,mean_l2_norm,30,6.59162711033056,6.598646198387968,6.60575602906554,6.598681969293519,0.005124010505806001
sl_eat_all_ssl_all,10,cos_class_aves_vs_mammalia,30,0.501887834200314,0.5278383828892141,0.5552446456720807,0.5293289447410449,0.018539292867653538
sl_eat_all_ssl_all,10,cos_order_passer_vs_other_aves,30,0.749098885856251,0.7902492724873864,0.8233872736664677,0.7891939220165239,0.026821547040720498
sl_eat_all_ssl_all,10,abs_cos_veitch_class_vs_passer_subord,30,0.2522253525687029,0.35738037360273306,0.46105453717316125,0.3591567742295414,0.07428353333789768
