model,layer_idx,source_a,source_b,is_bio_a,is_bio_b,same_bio_class,mean_cos_principal_angles,k
eat_all,8,NatureLM,Xeno-canto,False,True,False,0.6795125373055899,10
eat_all,8,NatureLM,iNaturalist,False,True,False,0.7202547257242948,10
eat_all,8,Watkins,WavCaps,True,False,False,0.6407855572561058,10
eat_all,8,Watkins,Xeno-canto,True,True,True,0.574970059919484,10
eat_all,8,Watkins,iNaturalist,True,True,True,0.5918057837585133,10
eat_all,8,WavCaps,Xeno-canto,False,True,False,0.7463156734761391,10
eat_all,8,WavCaps,iNaturalist,False,True,False,0.7727058266331959,10
eat_all,8,Xeno-canto,iNaturalist,True,True,True,0.8361540607712531,10
eat_all,9,Animal Sound Archive,NatureLM,True,False,False,0.691011857519584,10
eat_all,9,Animal Sound Archive,Watkins,True,True,True,0.5710017982230788,10
eat_all,9,Animal Sound Archive,WavCaps,True,False,False,0.7528582135448316,10
eat_all,9,Animal Sound Archive,Xeno-canto,True,True,True,0.7852301094927892,10
eat_all,9,Animal Sound Archive,iNaturalist,True,True,True,0.8187949715826836,10
eat_all,9,NatureLM,Watkins,False,True,False,0.5679483243162202,10
eat_all,9,NatureLM,WavCaps,False,False,True,0.8201958354015885,10
eat_all,9,NatureLM,Xeno-canto,False,True,False,0.6670867337404311,10
eat_all,9,NatureLM,iNaturalist,False,True,False,0.6752661810870356,10
eat_all,9,Watkins,WavCaps,True,False,False,0.6303815704662045,10
eat_all,9,Watkins,Xeno-canto,True,True,True,0.5890103154584849,10
eat_all,9,Watkins,iNaturalist,True,True,True,0.5890057732414811,10
eat_all,9,WavCaps,Xeno-canto,False,True,False,0.800479850012031,10
eat_all,9,WavCaps,iNaturalist,False,True,False,0.7932318709020423,10
eat_all,9,Xeno-canto,iNaturalist,True,True,True,0.8787173946780266,10
eat_all,10,Animal Sound Archive,NatureLM,True,False,False,0.7033493467059222,10
eat_all,10,Animal Sound Archive,Watkins,True,True,True,0.5488882679112831,10
eat_all,10,Animal Sound Archive,WavCaps,True,False,False,0.7699853760586325,10
eat_all,10,Animal Sound Archive,Xeno-canto,True,True,True,0.8381311862624695,10
eat_all,10,Animal Sound Archive,iNaturalist,True,True,True,0.8451454309867694,10
eat_all,10,NatureLM,Watkins,False,True,False,0.5817683288983886,10
eat_all,10,NatureLM,WavCaps,False,False,True,0.8421501631472983,10
eat_all,10,NatureLM,Xeno-canto,False,True,False,0.6877387333902154,10
eat_all,10,NatureLM,iNaturalist,False,True,False,0.7067377876921175,10
eat_all,10,Watkins,WavCaps,True,False,False,0.6253667241088039,10
eat_all,10,Watkins,Xeno-canto,True,True,True,0.5739388372459608,10
eat_all,10,Watkins,iNaturalist,True,True,True,0.5550932686114072,10
eat_all,10,WavCaps,Xeno-canto,False,True,False,0.7930272987330355,10
eat_all,10,WavCaps,iNaturalist,False,True,False,0.7893639509836771,10
eat_all,10,Xeno-canto,iNaturalist,True,True,True,0.8908611327708421,10
eat_all,11,Animal Sound Archive,NatureLM,True,False,False,0.7045446676459342,10
eat_all,11,Animal Sound Archive,Watkins,True,True,True,0.5492885370702087,10
eat_all,11,Animal Sound Archive,WavCaps,True,False,False,0.7774913850477952,10
eat_all,11,Animal Sound Archive,Xeno-canto,True,True,True,0.7925183407753464,10
eat_all,11,Animal Sound Archive,iNaturalist,True,True,True,0.8054558398687407,10
eat_all,11,NatureLM,Watkins,False,True,False,0.5912196351745562,10
eat_all,11,NatureLM,WavCaps,False,False,True,0.8143085679795166,10
eat_all,11,NatureLM,Xeno-canto,False,True,False,0.6963898385991053,10
eat_all,11,NatureLM,iNaturalist,False,True,False,0.7093192062752964,10
eat_all,11,Watkins,WavCaps,True,False,False,0.6444480332426779,10
eat_all,11,Watkins,Xeno-canto,True,True,True,0.5703703941357114,10
eat_all,11,Watkins,iNaturalist,True,True,True,0.5680273854036593,10
eat_all,11,WavCaps,Xeno-canto,False,True,False,0.8053334250143438,10
eat_all,11,WavCaps,iNaturalist,False,True,False,0.7993981850429429,10
eat_all,11,Xeno-canto,iNaturalist,True,True,True,0.8622006657683048,10
eat_all,12,Animal Sound Archive,NatureLM,True,False,False,0.7360556604352959,10
eat_all,12,Animal Sound Archive,Watkins,True,True,True,0.7283347371558592,10
eat_all,12,Animal Sound Archive,WavCaps,True,False,False,0.8036298418208473,10
eat_all,12,Animal Sound Archive,Xeno-canto,True,True,True,0.8371869677326182,10
eat_all,12,Animal Sound Archive,iNaturalist,True,True,True,0.8755170749099792,10
eat_all,12,NatureLM,Watkins,False,True,False,0.7476652051840605,10
eat_all,12,NatureLM,WavCaps,False,False,True,0.834384165727454,10
eat_all,12,NatureLM,Xeno-canto,False,True,False,0.7306044956423261,10
eat_all,12,NatureLM,iNaturalist,False,True,False,0.7532229342598649,10
eat_all,12,Watkins,WavCaps,True,False,False,0.8123453101738687,10
