model,layer_idx,layer_name,source_dataset,n_samples,norm_mean,norm_std,norm_median
sl_eat_all_ssl_all,2,model.blocks.1,NatureLM,100,3.0375449657440186,0.8237133026123047,2.9929423332214355
sl_eat_all_ssl_all,2,model.blocks.1,Watkins,100,3.0557327270507812,0.5353258848190308,3.09877347946167
sl_eat_all_ssl_all,2,model.blocks.1,WavCaps,100,2.2841036319732666,0.6654223799705505,2.1503586769104004
sl_eat_all_ssl_all,2,model.blocks.1,Xeno-canto,100,2.1097850799560547,0.36035943031311035,2.057196855545044
sl_eat_all_ssl_all,2,model.blocks.1,iNaturalist,100,2.304852247238159,0.4570358991622925,2.203650951385498
sl_eat_all_ssl_all,2,model.blocks.1,All,600,2.451770782470703,0.7031768560409546,2.251862049102783
sl_eat_all_ssl_all,3,model.blocks.2,Animal Sound Archive,100,1.8640947341918945,0.2606075406074524,1.8366937637329102
sl_eat_all_ssl_all,3,model.blocks.2,NatureLM,100,3.0098137855529785,0.7592901587486267,3.140471935272217
sl_eat_all_ssl_all,3,model.blocks.2,Watkins,100,3.037773847579956,0.4869767725467682,3.0181615352630615
sl_eat_all_ssl_all,3,model.blocks.2,WavCaps,100,2.2968573570251465,0.6582894325256348,2.242175579071045
sl_eat_all_ssl_all,3,model.blocks.2,Xeno-canto,100,1.985701322555542,0.32940492033958435,1.9190702438354492
sl_eat_all_ssl_all,3,model.blocks.2,iNaturalist,100,2.1543054580688477,0.4136143624782562,2.0431675910949707
sl_eat_all_ssl_all,3,model.blocks.2,All,600,2.3914246559143066,0.6955265998840332,2.1943063735961914
sl_eat_all_ssl_all,4,model.blocks.3,Animal Sound Archive,100,2.6218481063842773,0.44084683060646057,2.501697063446045
sl_eat_all_ssl_all,4,model.blocks.3,NatureLM,100,4.393762588500977,1.2009958028793335,4.6018805503845215
sl_eat_all_ssl_all,4,model.blocks.3,Watkins,100,4.5334367752075195,0.6833211183547974,4.531345367431641
sl_eat_all_ssl_all,4,model.blocks.3,WavCaps,100,3.3222544193267822,1.0033519268035889,3.2145161628723145
sl_eat_all_ssl_all,4,model.blocks.3,Xeno-canto,100,2.7401187419891357,0.5528479814529419,2.5702157020568848
sl_eat_all_ssl_all,4,model.blocks.3,iNaturalist,100,3.035872459411621,0.6617415547370911,2.831087589263916
sl_eat_all_ssl_all,4,model.blocks.3,All,600,3.4412155151367188,1.1026912927627563,3.1148810386657715
sl_eat_all_ssl_all,5,model.blocks.4,Animal Sound Archive,100,2.7259533405303955,0.45240703225135803,2.6028976440429688
sl_eat_all_ssl_all,5,model.blocks.4,NatureLM,100,4.542901992797852,1.1378052234649658,4.760462760925293
sl_eat_all_ssl_all,5,model.blocks.4,Watkins,100,4.770105361938477,0.665707528591156,4.792409896850586
sl_eat_all_ssl_all,5,model.blocks.4,WavCaps,100,3.5107967853546143,0.9854586720466614,3.340430974960327
sl_eat_all_ssl_all,5,model.blocks.4,Xeno-canto,100,2.8634374141693115,0.5443661212921143,2.734994411468506
sl_eat_all_ssl_all,5,model.blocks.4,iNaturalist,100,3.2039480209350586,0.6367111802101135,3.053036689758301
sl_eat_all_ssl_all,5,model.blocks.4,All,600,3.6028573513031006,1.1064027547836304,3.2926788330078125
sl_eat_all_ssl_all,6,model.blocks.5,Animal Sound Archive,100,2.8584530353546143,0.40326955914497375,2.751448392868042
sl_eat_all_ssl_all,6,model.blocks.5,NatureLM,100,4.597413539886475,1.0728378295898438,4.791665554046631
sl_eat_all_ssl_all,6,model.blocks.5,Watkins,100,4.803655624389648,0.5945185422897339,4.85279655456543
sl_eat_all_ssl_all,6,model.blocks.5,WavCaps,100,3.728376865386963,0.8884216547012329,3.6157212257385254
sl_eat_all_ssl_all,6,model.blocks.5,Xeno-canto,100,2.9774181842803955,0.5146103501319885,2.8308281898498535
