model,layer,perm_b,abs_cos
eat_bio,7,16,0.2612896887934123
eat_bio,7,17,0.16443730858321948
eat_bio,7,18,0.07932418033932254
eat_bio,7,19,0.25835539097469484
eat_bio,7,20,0.022032242854451045
eat_bio,7,21,0.03500871975796932
eat_bio,7,22,0.11212817370219778
eat_bio,7,23,0.07421674645779927
eat_bio,7,24,0.29005802236349976
eat_bio,7,25,0.06906059481862176
eat_bio,7,26,0.0749873430626492
eat_bio,7,27,0.0055624728815381
eat_bio,7,28,0.15993394884852974
eat_bio,7,29,0.08711810150511498
eat_bio,7,30,0.07409925168232288
eat_bio,7,31,0.03192599573753425
eat_bio,7,32,0.11732023196982418
eat_bio,7,33,0.12972600916267657
eat_bio,7,34,0.10042795108495958
eat_bio,7,35,0.1603104700582767
eat_bio,7,36,0.22651277691192004
eat_bio,7,37,0.22543679890792317
eat_bio,7,38,0.2584541377991995
eat_bio,7,39,0.25493458397153473
eat_bio,7,40,0.2947389741280798
eat_bio,7,41,0.14526819230743454
eat_bio,7,42,0.05053669788156913
eat_bio,7,43,0.07129239089286454
eat_bio,7,44,0.12037809593179259
eat_bio,7,45,0.15488064708327884
eat_bio,7,46,0.38133861826108956
eat_bio,7,47,0.11847465884934467
eat_bio,7,48,0.08800589935351268
eat_bio,7,49,0.3227003439476533
eat_bio,7,50,0.08256534254445543
eat_bio,7,51,0.11047280247390955
eat_bio,7,52,0.03979638097701138
eat_bio,7,53,0.2258666309427956
eat_bio,7,54,0.18861197282254374
eat_bio,7,55,0.17976704648682817
eat_bio,7,56,0.03363726947481002
eat_bio,7,57,0.021057898853971677
eat_bio,7,58,0.24609342873428955
eat_bio,7,59,0.10909414836569324
eat_bio,7,60,0.40994862537891325
eat_bio,7,61,0.03676714918539631
eat_bio,7,62,0.39285073307104734
eat_bio,7,63,0.0060389282724654745
eat_bio,7,64,0.017665210131112153
eat_bio,7,65,0.0868421893970212
eat_bio,7,66,0.06350969294326256
eat_bio,7,67,0.30064883772382495
eat_bio,7,68,0.22898275458081205
eat_bio,7,69,0.07065524450014098
eat_bio,7,70,0.031856318439030584
eat_bio,7,71,0.03732101167048147
eat_bio,7,72,0.057619018078488106
eat_bio,7,73,0.10657940523848905
eat_bio,7,74,0.00018283248252177795
eat_bio,7,75,0.593747281090384
eat_bio,7,76,0.4169089877776277
eat_bio,7,77,0.4511326633755239
eat_bio,7,78,0.21509654260631003
eat_bio,7,79,0.36663249469675285
eat_bio,7,80,0.05716833489124668
eat_bio,7,81,0.05653922663793757
eat_bio,7,82,0.10928456167177558
eat_bio,7,83,0.11089482157253883
eat_bio,7,84,0.07141161671774035
eat_bio,7,85,0.2642246423258035
eat_bio,7,86,0.07713806605829997
eat_bio,7,87,0.01634724832478183
eat_bio,7,88,0.020277663290573927
eat_bio,7,89,0.22077099502717482
eat_bio,7,90,0.31566417497367344
eat_bio,7,91,0.259721481177752
eat_bio,7,92,0.11651096441365671
eat_bio,7,93,0.1788443385123869
eat_bio,7,94,0.055586224812128514
eat_bio,7,95,0.12295814793245885
eat_bio,7,96,0.1538967694561306
eat_bio,7,97,0.08367260977518497
eat_bio,7,98,0.15285226038659178
eat_bio,7,99,0.03940729075043643
eat_bio,7,100,0.09834606126734481
eat_bio,7,101,0.2581621912496142
eat_bio,7,102,0.002292804912307849
eat_bio,7,103,0.20899905196410676
eat_bio,7,104,0.0814687920069463
eat_bio,7,105,0.07794216084074568
eat_bio,7,106,0.01367003506472897
eat_bio,7,107,0.1634051106028503
eat_bio,7,108,0.25052590722577867
eat_bio,7,109,0.030048265746315767
eat_bio,7,110,0.17547984530506266
eat_bio,7,111,0.24881001089987154
eat_bio,7,112,0.11209651511678653
eat_bio,7,113,0.16343993875530763
eat_bio,7,114,0.28471714356447325
eat_bio,7,115,0.04270094132264239
eat_bio,7,116,0.12638152137836847
eat_bio,7,117,0.0666979136495408
eat_bio,7,118,0.022172393109736028
eat_bio,7,119,0.2836212020752917
eat_bio,7,120,0.24776666215856544
eat_bio,7,121,0.19103148063323216
eat_bio,7,122,0.16861719174345036
eat_bio,7,123,0.23035850613566317
eat_bio,7,124,0.2647092838369374
eat_bio,7,125,0.2700479199383958
eat_bio,7,126,0.42669153564213397
eat_bio,7,127,0.09915444554509668
eat_bio,7,128,0.0016702163736696488
eat_bio,7,129,0.21596560664517075
eat_bio,7,130,0.023349320837748683
eat_bio,7,131,0.15711833538875167
eat_bio,7,132,0.19040111539749932
eat_bio,7,133,0.03768148114555973
eat_bio,7,134,0.08010579957223131
eat_bio,7,135,0.33579825781326333
eat_bio,7,136,0.2255286361274486
eat_bio,7,137,0.0944116672832129
eat_bio,7,138,0.41046931377818563
eat_bio,7,139,0.45335638855122184
eat_bio,7,140,0.21419236455416693
eat_bio,7,141,0.021280973383899626
eat_bio,7,142,0.06856859313503223
eat_bio,7,143,0.0190162614404876
eat_bio,7,144,0.10284444575206657
eat_bio,7,145,0.013327582229527726
eat_bio,7,146,0.06532507688555576
eat_bio,7,147,0.06322373675824225
eat_bio,7,148,0.29664753781941794
eat_bio,7,149,0.009227269467075555
eat_bio,7,150,0.1291687216877613
eat_bio,7,151,0.17417214647957405
eat_bio,7,152,0.4066225912863782
eat_bio,7,153,0.22189858986343017
eat_bio,7,154,0.1981797374253405
eat_bio,7,155,0.45956640814125904
eat_bio,7,156,0.11234943845754952
eat_bio,7,157,0.054745154858735
eat_bio,7,158,0.028754884080959598
eat_bio,7,159,0.13258521269026888
eat_bio,7,160,0.06855530387337293
eat_bio,7,161,0.17462316172709624
eat_bio,7,162,0.02066355020375184
