model,layer_idx,source,n_clips,n_frames,effective_rank,participation_ratio,mle_id_k20,is_bio
sl_eat_bio_ssl_all,1,iNaturalist,115,5750,57.92163736164448,28.264998865695638,11.055249816345441,True
sl_eat_bio_ssl_all,2,Animal Sound Archive,10,500,76.42136354681617,42.07933982748385,14.951419108720076,True
sl_eat_bio_ssl_all,2,NatureLM,165,8250,82.98723827034041,38.558526075662584,7.084283467775637,False
sl_eat_bio_ssl_all,2,Watkins,153,7650,86.59115657610688,43.8587518570582,2.1721970807578352,True
sl_eat_bio_ssl_all,2,WavCaps,35,1750,92.72585792864287,49.36851439745177,14.149485841539331,False
sl_eat_bio_ssl_all,2,Xeno-canto,322,16100,100.07792268205402,55.6874285613615,16.581072305698427,True
sl_eat_bio_ssl_all,2,iNaturalist,115,5750,95.58952037011763,53.227030188935856,14.87874478671936,True
sl_eat_bio_ssl_all,3,Animal Sound Archive,10,500,90.31117918400224,47.77607983412008,14.876662628099307,True
sl_eat_bio_ssl_all,3,NatureLM,165,8250,106.35300668476945,49.21639019959319,7.029625548670746,False
sl_eat_bio_ssl_all,3,Watkins,153,7650,110.87224998468788,54.482996005331685,2.204467352575203,True
sl_eat_bio_ssl_all,3,WavCaps,35,1750,118.9958101337,63.513638798534,13.351172309745001,False
sl_eat_bio_ssl_all,3,Xeno-canto,322,16100,128.97607345442802,69.64516872920015,17.5833089969118,True
sl_eat_bio_ssl_all,3,iNaturalist,115,5750,123.34174940077767,66.40183840941931,16.617058310144213,True
sl_eat_bio_ssl_all,4,Animal Sound Archive,10,500,114.19388948157928,57.386116486305546,14.188725058406426,True
sl_eat_bio_ssl_all,4,NatureLM,165,8250,140.93677952125958,57.01137935649029,8.063555305557285,False
sl_eat_bio_ssl_all,4,Watkins,153,7650,148.29855093986203,68.25397530432019,2.3113454767032295,True
sl_eat_bio_ssl_all,4,WavCaps,35,1750,161.29222536203852,81.97261885920636,11.533076331823668,False
sl_eat_bio_ssl_all,4,Xeno-canto,322,16100,186.23384595507105,93.5927883080494,18.15043609449398,True
sl_eat_bio_ssl_all,4,iNaturalist,115,5750,176.28303193391156,87.6237687848274,16.504568345171844,True
sl_eat_bio_ssl_all,5,Animal Sound Archive,10,500,129.54912378248687,66.42524392818288,12.22381039251709,True
sl_eat_bio_ssl_all,5,NatureLM,165,8250,171.00368435873796,63.57876871993744,7.3043844570210945,False
sl_eat_bio_ssl_all,5,Watkins,153,7650,177.7604105730882,76.04603831201187,1.9761637504834912,True
sl_eat_bio_ssl_all,5,WavCaps,35,1750,190.04810618839122,92.97641451023219,9.367083047500829,False
sl_eat_bio_ssl_all,5,Xeno-canto,322,16100,245.95197970202446,115.78975622628866,14.251008700570543,True
sl_eat_bio_ssl_all,5,iNaturalist,115,5750,223.77765894291932,103.03911363665053,11.722449448810789,True
sl_eat_bio_ssl_all,6,Animal Sound Archive,10,500,124.5562191882051,60.80852402584943,9.208153797014209,True
sl_eat_bio_ssl_all,6,NatureLM,165,8250,194.18562827315213,67.66963784019512,6.172387740680753,False
sl_eat_bio_ssl_all,6,Watkins,153,7650,187.8696948337697,78.24172123879221,1.8381890909782272,True
sl_eat_bio_ssl_all,6,WavCaps,35,1750,207.11708900476262,101.98240064055285,7.445876762786998,False
sl_eat_bio_ssl_all,6,Xeno-canto,322,16100,307.3406720483607,147.55717939309835,11.307890963886294,True
sl_eat_bio_ssl_all,6,iNaturalist,115,5750,274.86636666998635,129.6258556315496,8.615612425929033,True
sl_eat_bio_ssl_all,7,Animal Sound Archive,10,500,114.56305356206617,53.626227338806686,7.973153051558601,True
sl_eat_bio_ssl_all,7,NatureLM,165,8250,201.9249783333394,70.42446413207581,5.410939950218337,False
sl_eat_bio_ssl_all,7,Watkins,153,7650,174.9413225046387,69.5055246782308,1.774529987429596,True
sl_eat_bio_ssl_all,7,WavCaps,35,1750,202.44241971444632,99.06245550580246,6.048429472911784,False
