model,layer_idx,layer_name,n,norm_mean,norm_std,norm_p05,norm_p50,norm_p95,norm_min,norm_max
sl_eat_bio_ssl_all,0,model.pos_drop,600,0.24211235344409943,0.09787231683731079,0.13398057222366333,0.21769143640995026,0.4576778709888458,0.10490186512470245,0.5473848581314087
sl_eat_bio_ssl_all,1,model.blocks.0,600,1.9897884130477905,0.6287819147109985,1.4141548871994019,1.7068672180175781,3.307741165161133,1.330642819404602,4.402078628540039
sl_eat_bio_ssl_all,2,model.blocks.1,600,2.285475969314575,0.5600892305374146,1.779299259185791,2.071680784225464,3.5682780742645264,1.6403844356536865,4.628424644470215
sl_eat_bio_ssl_all,3,model.blocks.2,600,2.5403616428375244,0.47859349846839905,2.0276105403900146,2.390411615371704,3.534605026245117,1.9254077672958374,4.678571701049805
sl_eat_bio_ssl_all,4,model.blocks.3,600,3.2922399044036865,0.6919451355934143,2.500213623046875,3.081820487976074,4.714859962463379,2.323075294494629,5.967438220977783
sl_eat_bio_ssl_all,5,model.blocks.4,600,3.637603282928467,0.7050520181655884,2.7773401737213135,3.4813265800476074,4.97218656539917,2.549833297729492,6.009324073791504
sl_eat_bio_ssl_all,6,model.blocks.5,600,3.8462255001068115,0.6836575269699097,2.9597294330596924,3.7389955520629883,5.0826287269592285,2.6764700412750244,5.927038669586182
sl_eat_bio_ssl_all,7,model.blocks.6,600,5.093362808227539,0.7214716672897339,4.122978210449219,4.992663383483887,6.394470691680908,3.6231534481048584,7.09637451171875
sl_eat_bio_ssl_all,8,model.blocks.7,600,5.095270156860352,0.5927338600158691,4.2328081130981445,5.050442695617676,6.1842360496521,3.7304210662841797,6.88541841506958
sl_eat_bio_ssl_all,9,model.blocks.8,600,4.724510669708252,0.48614782094955444,4.009435653686523,4.6826982498168945,5.694468975067139,3.562842607498169,6.2462921142578125
sl_eat_bio_ssl_all,10,model.blocks.9,600,3.658839464187622,0.3348347544670105,3.12113094329834,3.636826515197754,4.25111198425293,2.7680349349975586,4.803937911987305
sl_eat_bio_ssl_all,11,model.blocks.10,600,3.752938747406006,0.3175363540649414,3.2945854663848877,3.7090559005737305,4.307581424713135,3.0682663917541504,5.036134243011475
sl_eat_bio_ssl_all,12,model.blocks.11,600,12.653573036193848,0.87849360704422,11.230169296264648,12.660605430603027,14.129829406738281,10.468643188476562,15.611021041870117
