model,layer_a,layer_b,mean_cos_principal_angles,k
eat_bio,7,10,0.5337146735298522,10
eat_bio,7,11,0.45687425579818264,10
eat_bio,7,12,0.12448114561234558,10
eat_bio,8,9,0.7618687376405007,10
eat_bio,8,10,0.6633202092766296,10
eat_bio,8,11,0.5478477947005618,10
eat_bio,8,12,0.13829949054578095,10
eat_bio,9,10,0.8067542750667792,10
eat_bio,9,11,0.6519163730122869,10
eat_bio,9,12,0.18313973612054574,10
eat_bio,10,11,0.7935399138193555,10
eat_bio,10,12,0.2570028129678409,10
eat_bio,11,12,0.33844612624964016,10
sl_eat_all_ssl_all,0,1,0.3699186839124324,10
sl_eat_all_ssl_all,0,2,0.21150717074647588,10
sl_eat_all_ssl_all,0,3,0.15848520613121123,10
sl_eat_all_ssl_all,0,4,0.13298876693456418,10
sl_eat_all_ssl_all,0,5,0.11668700524941374,10
sl_eat_all_ssl_all,0,6,0.12353404879368146,10
sl_eat_all_ssl_all,0,7,0.11933513777369886,10
sl_eat_all_ssl_all,0,8,0.12070937315346868,10
sl_eat_all_ssl_all,0,9,0.10308977736457736,10
sl_eat_all_ssl_all,0,10,0.09381678392520129,10
sl_eat_all_ssl_all,0,11,0.08503931898154529,10
sl_eat_all_ssl_all,0,12,0.08762591028396269,10
sl_eat_all_ssl_all,1,2,0.6238359956685826,10
sl_eat_all_ssl_all,1,3,0.4440229946701767,10
sl_eat_all_ssl_all,1,4,0.3476057575891483,10
sl_eat_all_ssl_all,1,5,0.28215680470796933,10
sl_eat_all_ssl_all,1,6,0.26317596939705845,10
sl_eat_all_ssl_all,1,7,0.23421309554507608,10
sl_eat_all_ssl_all,1,8,0.26082858481891613,10
sl_eat_all_ssl_all,1,9,0.20272008502876235,10
sl_eat_all_ssl_all,1,10,0.18109398049801345,10
sl_eat_all_ssl_all,1,11,0.16705023727586427,10
sl_eat_all_ssl_all,1,12,0.09670289129355171,10
sl_eat_all_ssl_all,2,3,0.7205116863851979,10
sl_eat_all_ssl_all,2,4,0.5510223177227276,10
sl_eat_all_ssl_all,2,5,0.44296654463423035,10
sl_eat_all_ssl_all,2,6,0.4030599977314444,10
sl_eat_all_ssl_all,2,7,0.33472878377555587,10
sl_eat_all_ssl_all,2,8,0.39018615406401935,10
sl_eat_all_ssl_all,2,9,0.3090093524906628,10
sl_eat_all_ssl_all,2,10,0.2720285491350856,10
sl_eat_all_ssl_all,2,11,0.2435870841089093,10
sl_eat_all_ssl_all,2,12,0.09866016237307748,10
sl_eat_all_ssl_all,3,4,0.7244573825951399,10
