model,layer_idx,k,n,mle_id
sl_eat_all_ssl_all,10,5,5000,5.798955162509359
sl_eat_all_ssl_all,10,10,5000,8.150295738238897
sl_eat_all_ssl_all,10,20,5000,10.006731661717698
sl_eat_all_ssl_all,10,40,5000,11.09139130805326
sl_eat_all_ssl_all,10,80,5000,10.954326293241879
sl_eat_all_ssl_all,10,5,10000,4.270085472604221
sl_eat_all_ssl_all,10,10,10000,6.547324816305501
sl_eat_all_ssl_all,10,20,10000,8.706025123269958
sl_eat_all_ssl_all,10,40,10000,10.335113798134483
sl_eat_all_ssl_all,10,80,10000,11.229501534279104
sl_eat_all_ssl_all,10,5,20000,2.71361670381929
sl_eat_all_ssl_all,10,10,20000,4.401404704527738
sl_eat_all_ssl_all,10,20,20000,6.550899854045245
sl_eat_all_ssl_all,10,40,20000,8.668429196748905
sl_eat_all_ssl_all,10,80,20000,10.260769700731407
sl_eat_all_ssl_all,11,5,2500,8.651484815321306
sl_eat_all_ssl_all,11,10,2500,10.678451351386853
sl_eat_all_ssl_all,11,20,2500,11.64549865317499
sl_eat_all_ssl_all,11,40,2500,11.459999487159187
sl_eat_all_ssl_all,11,80,2500,9.677203809990694
sl_eat_all_ssl_all,11,5,5000,6.4750380201220255
sl_eat_all_ssl_all,11,10,5000,8.96081979108138
sl_eat_all_ssl_all,11,20,5000,10.839431417859759
sl_eat_all_ssl_all,11,40,5000,11.687307681632184
sl_eat_all_ssl_all,11,80,5000,11.405834980684572
sl_eat_all_ssl_all,11,5,10000,4.6333444600256515
sl_eat_all_ssl_all,11,10,10000,7.011213279972128
sl_eat_all_ssl_all,11,20,10000,9.323203294321175
sl_eat_all_ssl_all,11,40,10000,11.053702661435974
sl_eat_all_ssl_all,11,80,10000,11.864597291589655
sl_eat_all_ssl_all,11,5,20000,2.629965306142956
sl_eat_all_ssl_all,11,10,20000,4.492383710435407
sl_eat_all_ssl_all,11,20,20000,6.753946547741683
sl_eat_all_ssl_all,11,40,20000,8.99157778402163
sl_eat_all_ssl_all,11,80,20000,10.769595417354141
sl_eat_all_ssl_all,12,5,2500,8.772340764320267
sl_eat_all_ssl_all,12,10,2500,10.943070728660675
sl_eat_all_ssl_all,12,20,2500,11.71027971667833
sl_eat_all_ssl_all,12,40,2500,11.776610820870347
sl_eat_all_ssl_all,12,80,2500,10.72610955216649
sl_eat_all_ssl_all,12,5,5000,6.509146841575302
sl_eat_all_ssl_all,12,10,5000,9.197610295209023
sl_eat_all_ssl_all,12,20,5000,11.16922438320908
sl_eat_all_ssl_all,12,40,5000,11.916099234636354
sl_eat_all_ssl_all,12,80,5000,11.719268887108777
sl_eat_all_ssl_all,12,5,10000,4.199311488476429
sl_eat_all_ssl_all,12,10,10000,6.6552425804611595
sl_eat_all_ssl_all,12,20,10000,9.13874027761347
sl_eat_all_ssl_all,12,40,10000,11.026757331392403
sl_eat_all_ssl_all,12,80,10000,11.862453561670039
sl_eat_all_ssl_all,12,5,20000,2.5029122501308048
sl_eat_all_ssl_all,12,10,20000,4.345737550638221
sl_eat_all_ssl_all,12,20,20000,6.631167711485107
sl_eat_all_ssl_all,12,40,20000,8.999082624540938
